Language,Category,Question,Option A,Option B,Option C,Option D,Answer
Java,Syntax,What is the size of an int in Java?,2 bytes,4 bytes,8 bytes,16 bytes,B
Java,Class,Which keyword is used to inherit a class?,this,super,extends,implements,C
Java,Boolean,What is the default value of a boolean in Java?,true,false,null,0,B
Java,Thread,Which method is used to start a thread in Java?,run(),start(),execute(),begin(),B
Java,Package,Which package is imported by default in every Java program?,java.util,java.io,java.lang,java.net,C
Java,Class,What is the parent class of all classes in Java?,Object,Class,Base,Super,A
Java,Syntax,Which of these is not a Java access modifier?,public,private,protected,internal,D
Java,Syntax,What is the extension of compiled Java files?,.java,.class,.exe,.jar,B
Java,Syntax,Which keyword is used to define a constant in Java?,const,final,static,immutable,B
Java,Syntax,What is the output of 10/3 in Java?,3,3.33,3.0,Error,A
Java,Data Types,Which of these is not a primitive data type in Java?,int,float,string,boolean,C
Java,Char,What is the default value of a char in Java?,null,'\u0000',' ',0,B
Java,Loop,Which loop is guaranteed to execute at least once?,for,while,do-while,foreach,C
Java,Features,Which of these is not a feature of Java?,Platform-independent,Object-oriented,Pointer-based,Secure,C
Java,Keyword,What is the use of the 'this' keyword in Java?,Refers to the current object,Refers to the parent class,Refers to a static method,Refers to a local variable,A
Java,Syntax,Which of these is not a valid Java identifier?,_myVar,$myVar,123myVar,myVar123,C
Java,Syntax,What is the output of "Hello" + 5 in Java?,Hello5,Error,Hello 5,5Hello,A
Java,Exception,Which of these is not a valid exception in Java?,IOException,SQLException,FileNotFoundException,MemoryError,D
Java,Keyword,What is the purpose of the 'super' keyword in Java?,Access parent class methods,Access child class methods,Access static methods,Access private methods,A
Java,Syntax,Which of these is not a valid Java operator?,+,*,&,++,D
Java,Array,What is the default value of an int array in Java?,null,0,-1,undefined,B
Java,Loop,Which of these is not a valid Java loop?,for,while,foreach,repeat,D
Java,Keyword,What is the use of the 'final' keyword in Java?,Define constants,Prevent inheritance,Prevent method overriding,All of the above,D
Java,Collection,Which of these is not a valid Java collection?,ArrayList,HashMap,HashSet,Dictionary,D
Java,Math,What is the output of Math.max(5, 10) in Java?,5,10,15,Error,B
Java,Thread,Which of these is not a valid Java thread state?,NEW,RUNNABLE,WAITING,EXECUTING,D
Java,Keyword,What is the purpose of the 'static' keyword in Java?,Define instance variables,Define class-level variables,Define local variables,Define constants,B
Java,Annotation,Which of these is not a valid Java annotation?,@Override,@Deprecated,@Functional,@Serializable,D
Java,String,What is the output of "Hello".length() in Java?,4,5,6,Error,B
Java,Interface,Which of these is not a valid Java interface?,Runnable,Serializable,Cloneable,Thread,D
Java,Keyword,What is the purpose of the 'abstract' keyword in Java?,Define a concrete class,Define an abstract class,Define a static class,Define a final class,B
Java,Stream,Which of these is not a valid Java stream?,FileInputStream,BufferedReader,DataStream,PrintStream,C
Java,Bitwise,What is the output of 5 << 2 in Java?,10,20,40,Error,C
Java,Exception,Which of these is not a valid Java exception handling block?,try,catch,finally,throw,D
Java,Keyword,What is the purpose of the 'synchronized' keyword in Java?,Thread safety,Memory management,Garbage collection,Exception handling,A
Java,File,Which of these is not a valid Java file operation?,Read,Write,Execute,Delete,C
Java,String,What is the output of "Hello".substring(1, 3) in Java?,He,el,llo,Error,B
Java,Date/Time,Which of these is not a valid Java date/time class?,Date,Calendar,LocalDateTime,TimeZone,D
Java,Keyword,What is the purpose of the 'volatile' keyword in Java?,Thread safety,Memory consistency,Garbage collection,Exception handling,B
Java,Access Specifier,Which of these is not a valid Java access specifier?,public,private,protected,internal,D
Java,String,What is the output of "Hello".toUpperCase() in Java?,hello,HELLO,Hello,Error,B
Java,Collection,Which of these is not a valid Java collection framework class?,ArrayList,HashMap,HashSet,Vector,D
Java,Keyword,What is the purpose of the 'transient' keyword in Java?,Serialization,Deserialization,Thread safety,Memory management,A
Java,Keyword,Which of these is not a valid Java keyword?,goto,const,strictfp,volatile,B
Java,Math,What is the output of 10 % 3 in Java?,1,2,3,Error,A
Java,Loop,Which of these is not a valid Java loop control statement?,break,continue,return,exit,D
Java,Keyword,What is the purpose of the 'native' keyword in Java?,Define native methods,Define static methods,Define final methods,Define abstract methods,A
Java,File,Which of these is not a valid Java file extension?,.java,.class,.jar,.exe,D
Java,String,What is the output of "Hello".charAt(1) in Java?,H,e,l,Error,B
Java,Thread,Which of these is not a valid Java thread method?,start(),run(),stop(),execute(),D
Python,Math,What is the output of 10/3 in Python?,3,3.33,3.0,Error,B
Python,Keyword,Which keyword is used to define a function in Python?,function,def,lambda,func,B
Python,Boolean,What is the default value of a boolean in Python?,True,False,None,0,B
Python,Thread,Which method is used to start a thread in Python?,run(),start(),execute(),begin(),B
Python,Module,Which module is used for regular expressions in Python?,regex,re,regexp,pattern,B
Python,Class,What is the parent class of all classes in Python?,Object,Class,Base,Super,A
Python,Data Types,Which of these is not a Python data type?,int,float,string,boolean,D
